,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
10659,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,1273,503,40.0,MCHENRY 21,2018_General Election
10689,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,1249,476,38.0,MCHENRY 27,2018_General Election
10674,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,1208,395,33.0,MCHENRY 24,2018_General Election
10679,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,1263,332,26.0,MCHENRY 25,2018_General Election
10654,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,739,287,39.0,MCHENRY 20,2018_General Election
10669,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,749,215,29.0,MCHENRY 23,2018_General Election
10684,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,492,208,42.0,MCHENRY 26,2018_General Election
10694,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,569,198,35.0,MCHENRY 28,2018_General Election
10699,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,654,193,30.0,MCHENRY 29,2018_General Election
10660,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,1273,129,10.0,MCHENRY 21,2018_General Election
10664,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,427,127,30.0,MCHENRY 22,2018_General Election
10675,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,1208,117,10.0,MCHENRY 24,2018_General Election
10680,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,1263,113,9.0,MCHENRY 25,2018_General Election
10690,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,1249,111,9.0,MCHENRY 27,2018_General Election
3996,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,1249,89,7.0,MCHENRY 27,2018_General Election
3856,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,1273,86,7.0,MCHENRY 21,2018_General Election
10655,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,739,65,9.0,MCHENRY 20,2018_General Election
10695,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,569,62,11.0,MCHENRY 28,2018_General Election
3833,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,739,55,7.0,MCHENRY 20,2018_General Election
10670,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,749,52,7.0,MCHENRY 23,2018_General Election
3950,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,1263,48,4.0,MCHENRY 25,2018_General Election
10700,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,654,45,7.0,MCHENRY 29,2018_General Election
10665,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,427,43,10.0,MCHENRY 22,2018_General Election
4021,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,569,42,7.0,MCHENRY 28,2018_General Election
10685,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,492,42,9.0,MCHENRY 26,2018_General Election
3927,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,1208,40,3.0,MCHENRY 24,2018_General Election
3973,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,492,34,7.0,MCHENRY 26,2018_General Election
3902,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,749,31,4.0,MCHENRY 23,2018_General Election
4044,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,654,30,5.0,MCHENRY 29,2018_General Election
3879,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,427,19,4.0,MCHENRY 22,2018_General Election
3834,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,739,0,0.0,MCHENRY 20,2018_General Election
3857,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,1273,0,0.0,MCHENRY 21,2018_General Election
3880,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,427,0,0.0,MCHENRY 22,2018_General Election
3903,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,749,0,0.0,MCHENRY 23,2018_General Election
3928,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,1208,0,0.0,MCHENRY 24,2018_General Election
3951,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,1263,0,0.0,MCHENRY 25,2018_General Election
3974,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,492,0,0.0,MCHENRY 26,2018_General Election
3997,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,1249,0,0.0,MCHENRY 27,2018_General Election
4022,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,569,0,0.0,MCHENRY 28,2018_General Election
4045,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,654,0,0.0,MCHENRY 29,2018_General Election
8106,32ND SENATE,CRAIG WILCOX,REPUBLICAN,1273,450,35.0,MCHENRY 21,2018_General Election
8161,32ND SENATE,CRAIG WILCOX,REPUBLICAN,1249,407,33.0,MCHENRY 27,2018_General Election
6222,32ND SENATE,MARY MAHADY,DEMOCRACT,1208,292,24.0,MCHENRY 24,2018_General Election
6245,32ND SENATE,MARY MAHADY,DEMOCRACT,1249,258,21.0,MCHENRY 27,2018_General Election
6201,32ND SENATE,MARY MAHADY,DEMOCRACT,1273,257,20.0,MCHENRY 21,2018_General Election
8133,32ND SENATE,CRAIG WILCOX,REPUBLICAN,1208,256,21.0,MCHENRY 24,2018_General Election
6230,32ND SENATE,MARY MAHADY,DEMOCRACT,1263,243,19.0,MCHENRY 25,2018_General Election
8143,32ND SENATE,CRAIG WILCOX,REPUBLICAN,1263,240,19.0,MCHENRY 25,2018_General Election
6194,32ND SENATE,MARY MAHADY,DEMOCRACT,739,205,28.0,MCHENRY 20,2018_General Election
8097,32ND SENATE,CRAIG WILCOX,REPUBLICAN,739,188,25.0,MCHENRY 20,2018_General Election
6253,32ND SENATE,MARY MAHADY,DEMOCRACT,569,180,32.0,MCHENRY 28,2018_General Election
6215,32ND SENATE,MARY MAHADY,DEMOCRACT,749,163,22.0,MCHENRY 23,2018_General Election
